Station,Year,Rainfall (mm)
"Banke, Nepalganj ",2001,1279
"Banke, Nepalganj ",2002,967
"Banke, Nepalganj ",2003,NA
"Banke, Nepalganj ",2004,929
"Banke, Nepalganj ",2005,1184
"Banke, Nepalganj ",2006,1242
"Banke, Nepalganj ",2007,2567
"Banke, Nepalganj ",2008,1781
"Banke, Nepalganj ",2009,1585
"Banke, Nepalganj ",2010,1503
"Banke, Nepalganj ",2011,1396
"Banke, Nepalganj ",2012,1080
"Bara, Simara  Airport ",2001,2297
"Bara, Simara  Airport ",2002,1949
"Bara, Simara  Airport ",2003,2150
"Bara, Simara  Airport ",2004,1965
"Bara, Simara  Airport ",2005,1864
"Bara, Simara  Airport ",2006,1861
"Bara, Simara  Airport ",2007,2897
"Bara, Simara  Airport ",2008,1643
"Bara, Simara  Airport ",2009,1312
"Bara, Simara  Airport ",2010,1580
"Bara, Simara  Airport ",2011,1832
"Bara, Simara  Airport ",2012,893
"Bhaktapur, Nagarkot ",2001,185
"Bhaktapur, Nagarkot ",2002,2321
"Bhaktapur, Nagarkot ",2003,2260
"Bhaktapur, Nagarkot ",2004,1807
"Bhaktapur, Nagarkot ",2005,1797
"Bhaktapur, Nagarkot ",2006,1669
"Bhaktapur, Nagarkot ",2007,2000
"Bhaktapur, Nagarkot ",2008,1512
"Bhaktapur, Nagarkot ",2009,1503
"Bhaktapur, Nagarkot ",2010,1715
"Bhaktapur, Nagarkot ",2011,2178
"Bhaktapur, Nagarkot ",2012,1768
"Bhojpur,Bhojpurr* ",2001,1304
"Bhojpur,Bhojpurr* ",2002,1178
"Bhojpur,Bhojpurr* ",2003,1086
"Bhojpur,Bhojpurr* ",2004,-
"Bhojpur,Bhojpurr* ",2005,-
"Bhojpur,Bhojpurr* ",2006,-
"Bhojpur,Bhojpurr* ",2007,- 
"Bhojpur,Bhojpurr* ",2008,- 
"Bhojpur,Bhojpurr* ",2009,-
"Bhojpur,Bhojpurr* ",2010,-
"Chitawan, Rampur ",2001,234
"Chitawan, Rampur ",2002,2644
"Chitawan, Rampur ",2003,2694
"Chitawan, Rampur ",2004,2042
"Chitawan, Rampur ",2005,1732
"Chitawan, Rampur ",2006,1997
"Chitawan, Rampur ",2007,2743
"Chitawan, Rampur ",2008,1786
"Chitawan, Rampur ",2009,1909
"Chitawan, Rampur ",2010,2400
"Chitawan, Rampur ",2011,1184
"Chitawan, Rampur ",2012,1636
"Dadeldhura,Dadeldhura ",2001,132
"Dadeldhura,Dadeldhura ",2002,1293
"Dadeldhura,Dadeldhura ",2003,1391
"Dadeldhura,Dadeldhura ",2004,1194
"Dadeldhura,Dadeldhura ",2005,1102
"Dadeldhura,Dadeldhura ",2006,941
"Dadeldhura,Dadeldhura ",2007,1669
"Dadeldhura,Dadeldhura ",2008,1479
"Dadeldhura,Dadeldhura ",2009,1746
"Dadeldhura,Dadeldhura ",2010,1527
"Dadeldhura,Dadeldhura ",2011,1251
"Dadeldhura,Dadeldhura ",2012,NA 
"Dailekh,Dailekh ",2001,NA
"Dailekh,Dailekh ",2002,1327
"Dailekh,Dailekh ",2003,1999
"Dailekh,Dailekh ",2004,1281
"Dailekh,Dailekh ",2005,1792
"Dailekh,Dailekh ",2006,1784
"Dailekh,Dailekh ",2007,1697
"Dailekh,Dailekh ",2008,1986
